timestamp,environment,policy_version,opponent_name,opponent_version,opponent_kind,change_type,split,seed_start,seed_stop_exclusive,episodes,mean,std,median,min,max,wins,losses,draws,win_rate,life_difference_mean,environment_steps,wall_clock_seconds,pass_fail,tests_pass_fail,git_commit,diff_identifier,agent_iterations,code_edits,change_summary,failure_analysis,next_hypothesis
2026-05-27T03:37:22+00:00,SlimeVolley-v0,rally-serve,builtin,slimevolleygym-baseline-rnn,built-in baseline,logging/diagnostics change,dev,12000,12050,50,-0.28,0.800999,0,-2,2,7,20,23,0.14,-0.28,150000,12.604601,pass,pass,a426cc9,3d9464d3f25f,0,0,Generation-5 development baseline for rally-serve after generation-4 holdout consumption.,Fresh development-only baseline; do not tune from consumed generation-4 holdout.,Compare against baseline-rnn on the same generation-5 development seeds before proposing structural edits.
2026-05-27T03:37:49+00:00,SlimeVolley-v0,baseline-rnn,builtin,slimevolleygym-baseline-rnn,built-in baseline,neural/RL baseline,dev,12000,12050,50,-0.18,1.53219,0,-4,3,18,19,13,0.36,-0.18,149774,9.571381,pass,pass,a426cc9,3d9464d3f25f,0,0,Generation-5 development neural comparator baseline on the same seeds as rally-serve.,Comparator row only; do not promote neural runtime behavior into the maintained heuristic.,Use the fresh development gap to choose a structural heuristic diagnostic without touching generation-5 holdout or audit seeds.
2026-05-27T03:38:16+00:00,SlimeVolley-v0,attack,builtin,slimevolleygym-baseline-rnn,built-in baseline,logging/diagnostics change,dev,12000,12050,50,-0.4,0.916515,0,-2,2,6,20,24,0.12,-0.4,150000,11.840351,pass,pass,a426cc9,3d9464d3f25f,0,0,Generation-5 development baseline for attack candidate on fresh seeds.,Fresh development-only comparison row; do not infer holdout performance.,"Compare attack, rally-serve, improved-tuned, and baseline-rnn before choosing one structural direction."
2026-05-27T03:38:41+00:00,SlimeVolley-v0,improved-tuned,builtin,slimevolleygym-baseline-rnn,built-in baseline,scalar/config tuning,dev,12000,12050,50,-0.74,1.09197,-1,-3,1,6,28,16,0.12,-0.74,150000,11.449194,pass,pass,a426cc9,3d9464d3f25f,0,0,Generation-5 development baseline for scalar-tuned heuristic on fresh seeds.,Fresh development-only scalar/config comparison row; do not count as structural improvement.,Use scalar/config baseline to separate structural gains from tuned constants before a policy edit.
2026-05-27T03:43:54+00:00,SlimeVolley-v0,net-pressure,builtin,slimevolleygym-baseline-rnn,built-in baseline,structural policy improvement,dev,12000,12016,16,0.0625,1.14394,0,-2,3,3,4,9,0.1875,0.0625,48000,4.242113,pass,pass,a426cc9,e46f3304ade3,1,4,Generation-5 structural net-pressure short screen: front-court forward+jump pressure to reduce passive draws.,Short fixed development screen only; candidate must beat rally-serve and baseline-rnn on full dev and opponent pool before promotion.,"If short-screen mean improves without extra losses, full-check on 12000..12049 and then archived dev opponent pool."
2026-05-27T03:44:37+00:00,SlimeVolley-v0,net-pressure,builtin,slimevolleygym-baseline-rnn,built-in baseline,structural policy improvement,dev,12000,12050,50,-0.06,1.02781,0,-3,3,11,14,25,0.22,-0.06,150000,12.457745,pass,pass,a426cc9,e46f3304ade3,1,4,Generation-5 structural net-pressure full development check after positive 12000..12015 screen.,Full development-only built-in check; candidate still needs fixed opponent-pool robustness before promotion.,"If full dev beats rally-serve and baseline-rnn, evaluate fixed dev opponent pool; otherwise document failure and revise structurally on fresh dev only."
2026-05-27T03:45:10+00:00,SlimeVolley-v0,net-pressure,random,v0,random policy,structural policy improvement,dev,12000,12050,50,4.9,0.360555,5,3,5,50,0,0,1.0,4.9,38968,4.092684,pass,pass,a426cc9,e46f3304ade3,1,4,Generation-5 net-pressure fixed development opponent-pool robustness check.,Development-only robustness row after built-in improvement; promotion still requires comparison against prior heuristic candidates and no holdout use.,"If robustness regresses against archived opponents, revise front-court pressure rule before any holdout consideration."
2026-05-27T03:45:16+00:00,SlimeVolley-v0,net-pressure,initial,v0,frozen heuristic,structural policy improvement,dev,12000,12050,50,4.86,0.4005,5,3,5,50,0,0,1.0,4.86,46151,4.651058,pass,pass,a426cc9,e46f3304ade3,1,4,Generation-5 net-pressure fixed development opponent-pool robustness check.,Development-only robustness row after built-in improvement; promotion still requires comparison against prior heuristic candidates and no holdout use.,"If robustness regresses against archived opponents, revise front-court pressure rule before any holdout consideration."
2026-05-27T03:45:32+00:00,SlimeVolley-v0,net-pressure,improved-v5,v5,archived heuristic,structural policy improvement,dev,12000,12050,50,1.2,1.42829,1,-2,4,34,7,9,0.68,1.2,149883,15.453979,pass,pass,a426cc9,e46f3304ade3,1,4,Generation-5 net-pressure fixed development opponent-pool robustness check.,Development-only robustness row after built-in improvement; promotion still requires comparison against prior heuristic candidates and no holdout use.,"If robustness regresses against archived opponents, revise front-court pressure rule before any holdout consideration."
2026-05-27T03:45:47+00:00,SlimeVolley-v0,net-pressure,improved-v6,v6,archived heuristic,structural policy improvement,dev,12000,12050,50,1.22,1.47363,1,-2,5,34,7,9,0.68,1.22,149011,15.21759,pass,pass,a426cc9,e46f3304ade3,1,4,Generation-5 net-pressure fixed development opponent-pool robustness check.,Development-only robustness row after built-in improvement; promotion still requires comparison against prior heuristic candidates and no holdout use.,"If robustness regresses against archived opponents, revise front-court pressure rule before any holdout consideration."
