timestamp,environment,policy_version,opponent_name,opponent_version,opponent_kind,change_type,split,seed_start,seed_stop_exclusive,episodes,mean,std,median,min,max,wins,losses,draws,win_rate,life_difference_mean,environment_steps,wall_clock_seconds,pass_fail,tests_pass_fail,git_commit,diff_identifier,agent_iterations,code_edits,change_summary,failure_analysis,next_hypothesis
2026-05-25T17:49:30+00:00,SlimeVolley-v0,improved,builtin,slimevolleygym-baseline-rnn,built-in baseline,logging/diagnostics change,dev,3000,3050,50,,,,,,0,0,0,,,0,0.000133,fail,pass,088c70f,daac29ffa6c0,0,0,Generation-2 development diagnostic trace for improved vs builtin; no policy code changed.,SlimeVolleyDependencyError: SlimeVolley requires optional legacy dependencies: gym and slimevolleygym. Current status: ModuleNotFoundError: No module named 'gym',Use generation-2 dev traces to diagnose built-in serve/return timing before any policy edit.
2026-05-25T18:10:29+00:00,SlimeVolley-v0,improved,builtin,slimevolleygym-baseline-rnn,built-in baseline,logging/diagnostics change,dev,3000,3050,50,-4.86,0.346987,-5,-5,-4,0,50,0,0.0,-4.86,53821,3.736024,pass,pass,088c70f,b1a7db8c05fe,0,0,Generation-2 development trace after isolated legacy SlimeVolley dependency setup; no policy code changed.,No failure observed.,Inspect built-in-opponent point traces to identify one structural timing change before any generation-2 policy edit.
2026-05-25T18:12:00+00:00,SlimeVolley-v0,improved-v2,builtin,slimevolleygym-baseline-rnn,built-in baseline,logging/diagnostics change,dev,3000,3050,50,-4.86,0.346987,-5,-5,-4,0,50,0,0.0,-4.86,53821,3.760113,pass,pass,088c70f,b1a7db8c05fe,0,0,Generation-2 development diagnostic comparison of frozen improved-v2 archive before grounded_low_receive against built-in opponent.,No failure observed.,"If improved-v2 outperforms current improved on built-in dev seeds, inspect grounded_low_receive suppression before making a structural edit."
2026-05-25T18:12:19+00:00,SlimeVolley-v0,improved-v1,builtin,slimevolleygym-baseline-rnn,built-in baseline,logging/diagnostics change,dev,3000,3050,50,-4.86,0.346987,-5,-5,-4,0,50,0,0.0,-4.86,53821,3.607096,pass,pass,088c70f,b1a7db8c05fe,0,0,Generation-2 development diagnostic comparison of frozen improved-v1 archive before late_low_ball_guard against built-in opponent.,No failure observed.,"If improved-v1 outperforms later archives on built-in dev seeds, inspect late low-ball jump suppression before making a structural edit."
2026-05-25T18:12:34+00:00,SlimeVolley-v0,initial,builtin,slimevolleygym-baseline-rnn,built-in baseline,logging/diagnostics change,dev,3000,3050,50,-4.88,0.324962,-5,-5,-4,0,50,0,0.0,-4.88,32359,2.237002,pass,pass,088c70f,b1a7db8c05fe,0,0,Generation-2 development diagnostic comparison of initial handwritten heuristic against built-in opponent.,No failure observed.,"If initial matches structural policies against built-in dev seeds, diagnose serve/positioning assumptions rather than low-ball archive differences."
2026-05-25T18:12:56+00:00,SlimeVolley-v0,baseline-rnn,builtin,slimevolleygym-baseline-rnn,built-in baseline,neural/RL baseline,dev,3000,3050,50,0.34,1.0317,0,-1,3,19,11,20,0.38,0.34,150000,8.305463,pass,pass,088c70f,b1a7db8c05fe,0,0,Generation-2 development comparator run using slimevolleygym packaged baseline-rnn against built-in opponent.,No failure observed.,"Use baseline-rnn dev score only as a comparator ceiling, not as holdout feedback or heuristic tuning target."
2026-05-25T18:15:14+00:00,SlimeVolley-v0,improved,builtin,slimevolleygym-baseline-rnn,built-in baseline,structural policy improvement,dev,3000,3050,50,-4.3,0.921954,-5,-5,-1,0,50,0,0.0,-4.3,118089,7.877731,pass,pass,088c70f,b1a7db8c05fe,1,1,Structural policy improvement: add falling_floor_intercept mode to move toward projected low-ball floor contact before low_ball_rescue activates.,No failure observed.,Compare generation-2 built-in development score against the pre-edit improved trace; keep only if it improves or does not harm opponent-pool regression checks.
2026-05-25T18:15:39+00:00,SlimeVolley-v0,improved,random,v0,random policy,structural policy improvement,dev,3000,3050,50,3.8,1.14891,4,1,5,50,0,0,1.0,3.8,34877,2.626274,pass,pass,088c70f,b1a7db8c05fe,1,1,Generation-2 development opponent-pool regression check after falling_floor_intercept structural policy change.,No failure observed.,Keep the structural change only if opponent-pool development rows do not show a broad regression against archived heuristics.
2026-05-25T18:15:42+00:00,SlimeVolley-v0,improved,initial,v0,frozen heuristic,structural policy improvement,dev,3000,3050,50,3.4,1.76635,4,-2,5,46,4,0,0.92,3.4,40744,2.545829,pass,pass,088c70f,b1a7db8c05fe,1,1,Generation-2 development opponent-pool regression check after falling_floor_intercept structural policy change.,No failure observed.,Keep the structural change only if opponent-pool development rows do not show a broad regression against archived heuristics.
2026-05-25T18:15:44+00:00,SlimeVolley-v0,improved,improved-v0,v0,archived heuristic,structural policy improvement,dev,3000,3050,50,3.54,1.56474,4,-1,5,48,2,0,0.96,3.54,40794,2.538514,pass,pass,088c70f,b1a7db8c05fe,1,1,Generation-2 development opponent-pool regression check after falling_floor_intercept structural policy change.,No failure observed.,Keep the structural change only if opponent-pool development rows do not show a broad regression against archived heuristics.
